issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
diesel_engine_reliability_issues,Diesel engines less reliable with DPF and power issues,Diesel problems,engine,chronic_failure,high,medium,"[""1.6_TDI"", ""2.0_TDI""]",,,"Diesels are less reliable than petrols, with potential for stalling at low RPM, power loss at high RPM, poor fuel economy, and DPF regeneration interruption risks.","Emissions systems complexity, DPF operation, potential turbo or fuel system issues.","Ensure proper DPF regeneration cycles, address potential sensor or turbo faults.","[""Check engine light"", ""Reduced power"", ""Poor MPG"", ""Rough idle""]","Check service history for DPF issues, test drive for low-RPM stalling and high-RPM power delivery.",3,1,"[{""video_id"": ""0mbw1oDtRC0"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""TtIKNOjBHDc"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""udX3VU-Haus"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,"Merges diesel reliability, DPF regeneration, low RPM stall, high RPM power drop, and poor fuel economy for diesel engines.",3
timing_chain_tensioner_failure,Timing chain tensioner failure on TSI engines,Timing Chain Tensioner,engine,chronic_failure,high,high,"[""1.2_TSI"", ""1.4_TSI"", ""1.8_TSI"", ""2.0_TSI""]",,,"Rattling noise from engine, potential for catastrophic engine failure if timing chain jumps.",Faulty tensioner design,Replace timing chain and tensioner,"[""Engine rattling on startup"", ""Timing-related noise""]",Listen for rattling on cold start; check service history for tensioner replacement.,3,1,"[{""video_id"": ""A10fzR5rZ1g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""FxfcS30ulZ4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""list_format""}, {""video_id"": ""4f1aVIA801g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""organic""}]",youtube,high,Critical issue; can lead to engine destruction if not addressed. Merged with 'timing_chain_stretch'.,3
manual_clutch_wear_limit,Manual clutch slips and wears prematurely,Clutch Wear,gearbox,wear_item,medium,high,"[""1.8_TSI"", ""2.0_TSI"", ""CJXC"", ""DJHA"", ""DNUE""]",,,"Clutch slips or shreds, even with standard engine power. The standard clutch is considered to be at its limit with factory power, especially if modified.",Factory power output,Upgrade clutch,"[""Slipping clutch"", ""Burning smell""]",Test clutch engagement for slipping during acceleration. Test clutch under hard acceleration.,2,2,"[{""video_id"": ""2JvUhYwgEGM"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""04rxrrv6yyE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic""}]",youtube,medium,Merged from 'manual_clutch_slip_wear' and 'clutch_at_power_limit' as they describe the same clutch wear issue.,2
turbo_failure_early_stop_start,Turbo failure due to stop/start or early failure,Turbo Failure,engine,chronic_failure,high,high,"[""CJXC"", ""1.8_TSI"", ""2.0_TSI""]",early model Mark 7s,,"Turbo failure caused by stop/start function leading to lubrication issues and overheating, or general failure leading to loss of power or boost pressure.",Stop/start system lubrication issues or turbocharger fault,"Replace turbocharger, disable stop/start","[""Loss of power"", ""Turbo noise"", ""Boost pressure loss"", ""Unusual turbo noises""]","Check turbo for signs of failure and ask about stop/start usage; check for boost leaks, unusual noises, or power loss.",2,2,"[{""video_id"": ""04rxrrv6yyE"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""organic""}, {""video_id"": ""A10fzR5rZ1g"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,,2
thermostat_water_pump_housing_leak,Coolant leak from thermostat housing or water pump,Thermostat/Water Pump Leak,cooling,fluid_leak,medium,high,"[""1.8_TSI"", ""2.0_TSI""]",,,"Coolant leaking out of the thermostat water pump housing, causing low coolant warning or puddles on the garage floor.",Faulty thermostat housing or water pump assembly.,Replace the thermostat housing or water pump assembly.,"[""Low coolant warning"", ""Puddles of coolant under car""]",Check for coolant stains around the thermostat housing and water pump area. Inspect coolant level and condition.,2,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,Merged from two video mentions describing the same coolant leak issue.,2
sunroof_problems,"Sunroof leaks, rattles, squeaks, and cracks",Sunroof Issues,body,chronic_failure,medium,high,"[""all""]",,,"Sunroof leaks during heavy rain, rattles and makes noises while driving, squeaks during operation, and can cause water leaks into the passenger side with staining on the A-pillar.","Clogged drain holes, worn seals, or structural issues.","Clean drain holes, replace seals, or repair/replace sunroof assembly.","[""Water stains on headliner or A-pillar"", ""Rattling noises from roof"", ""Squeaking during operation""]",Check for water stains on interior headliner and pillars. Operate sunroof to listen for noises. Inspect sunroof seals and drain holes.,2,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,"Merged multiple sunroof-related issues (clogging, rattle, leaks, squeaks, cracks) from two videos.",2
thermostat_water_pump_housing_leak,Coolant leak from thermostat housing or water pump,Thermostat/Water Pump Leak,cooling,fluid_leak,medium,high,"[""1.8_TSI"", ""2.0_TSI""]",,,"Coolant leaking out of the thermostat water pump housing, causing low coolant warning or puddles on the garage floor.",Faulty thermostat housing or water pump assembly.,Replace the thermostat housing or water pump assembly.,"[""Low coolant warning"", ""Puddles of coolant under car""]",Check for coolant stains around the thermostat housing and water pump area. Inspect coolant level and condition.,2,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,Merged from two video mentions describing the same coolant leak issue.,2
turbo_failure_early_models,Turbo seizure and failure on early 2015 models,Turbo Failure,engine,chronic_failure,high,medium,"[""all""]",2015,,"Turbo completely seizes up and fails or blows up, causing loss of power.","Turbocharger seizure, potential manufacturing or design flaw in early turbos.",Replace turbocharger assembly.,"[""Loss of power/boost"", ""Unusual turbo noises"", ""Excessive smoke from exhaust""]",Check for turbo performance and listen for abnormal sounds. Listen for unusual whistling or grinding noises from turbo. Check for excessive oil consumption or smoke.,2,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged 'turbo_seizure_2015_models' and 'early_turbo_failure'. Specific mention of 2015/early 2015 models.,2
sunroof_problems,"Sunroof leaks, rattles, squeaks, and cracks",Sunroof Issues,body,chronic_failure,medium,high,"[""all""]",,,"Sunroof leaks during heavy rain, rattles and makes noises while driving, squeaks during operation, and can cause water leaks into the passenger side with staining on the A-pillar.","Clogged drain holes, worn seals, or structural issues.","Clean drain holes, replace seals, or repair/replace sunroof assembly.","[""Water stains on headliner or A-pillar"", ""Rattling noises from roof"", ""Squeaking during operation""]",Check for water stains on interior headliner and pillars. Operate sunroof to listen for noises. Inspect sunroof seals and drain holes.,2,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,high,"Merged multiple sunroof-related issues (clogging, rattle, leaks, squeaks, cracks) from two videos.",2
plastic_oil_pan_and_drain_plug_issues,Plastic oil pan cracking and drain plug leaks,Oil Pan/Plug Issues,engine,chronic_failure,medium,medium,"[""all""]",,,"Oil pan cracks easily, even at stock height, leading to oil leaks. The plastic drain plug can also leak.",Plastic oil pan and drain plug design prone to damage and wear.,Replace with an aftermarket metal drain plug or new plastic plug. Repair or replace oil pan if cracked.,"[""Oil spots under car"", ""Low oil level""]","Inspect oil pan and drain plug area for cracks, leaks, or seepage during oil changes.",2,1,"[{""video_id"": ""nQ13NQhis_E"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""2X5bj2gX5z4"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Merged plastic oil drain plug leak and plastic oil pan cracking issues.,2
