source,model_year,category,url,failure_date,mileage,summary
carproblemzoo,2000,Visibility,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-visibility-problems.php,,,"The Power Window problem 1) rolling down passenger window
2) whole window fell in
3) car was brought to the mechanic and all inside door panel had tp be replaced since plastic piece holding this window broke. Read details..."
carproblemzoo,2000,Visibility,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-visibility-problems.php,,,"The Windshield problem 1. Rust on brakes pad guides blocked the pads on the rotors. Rotors were warped from the heat, brake pad on left rear side wore from 1/2"" all the way to the metal in short time. Vehicle was inspected to the dealer for 30k service 25 days prior to incident. Read details..."
carproblemzoo,2000,Visibility,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-visibility-problems.php,,,"The Side/rear Glass problem Once again, inconvenienced by window slider/regulator failure. First it was the passenger side window, now the driver's side. The window froze in the down position with only a grinding noise when I attempted to power the window back up. Read details..."
carproblemzoo,2000,Air Bag,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-air-bag-problems.php,,,The Air Bag Light On problem I own a 2000 vw Golf which I purchased brand new from a vw dealer. In January of 2007 I had to replace the driver side seat airbag and wiring harness for a cost a little over $600. On 7/14/2008 my airbag light came on again. I need to have the main driver side air bag and wiring harness replaced. Read details...
carproblemzoo,2000,Air Bag,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-air-bag-problems.php,,,The Side/window Air Bag problem Driver's seat side airbag deployment when fault codes are scanned and cleared. Vw apparently knows about problem with airbag control module. Technician injured when airbag forced his arm into steering wheel. Read details...
carproblemzoo,2000,Air Bag,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-air-bag-problems.php,,,The Front Air Bag Sensor Control problem 2000 vw Golf. The airbag light is stuck on. There is no way for me to know if the bag will deploy or not. In order for the dealer to look at it it would cost me $100 for the diagnostic test and between $500 and $700 to fix the problem. Read details...
carproblemzoo,2000,Service Brakes,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-service-brakes-problems.php,,,"The Brake Disc Pads problem Both rear outside brake pads wore down to the metal backing, while all other pads were still serviceable. Dealership was notified. Read details..."
carproblemzoo,2000,Service Brakes,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-service-brakes-problems.php,,30000.0,"The Brake Disc Rotor problem My Volkswagen Golf tdi had to have the rear rotors and brake pads replaced with less than 30,000 miles. The front brakes were still in good shape. The service person noted that brake dust sticks to the sliding parts and causes the brakes to stick and wear. Read details..."
carproblemzoo,2000,Service Brakes,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-service-brakes-problems.php,,,"The Brake Disc Caliper problem 2000 Volkswagen Golf front axle shafts were replaced due to cv joint failure. The right front caliper froze, power steering hose had to be replaced due to leakage located near the rear of the hose. ** received 10-20-** due to the calipers being replaced, the rotors had to be turned and the brakes Read details..."
carproblemzoo,2000,Engine And Engine Cooling,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-engine-and-engine-cooling-problems.php,,,The Engine problem Our Volkswagen Golf ( cuts out on us when the car is moving. This has been a problem for most of the year. We have taken our car to the Volkswagen dealer at least 7 times so far and the car still cuts out despite many different things being done. Read details...
carproblemzoo,2000,Engine And Engine Cooling,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-engine-and-engine-cooling-problems.php,,,"The Car Stall problem Oil pan on my 2000 vw Golf is made of cast aluminum or magnesium, very brittle. By design, the car has minimal ground clearance. A hole was punched in the oil pan by contact with the roadway on passing over a small bump. Read details..."
carproblemzoo,2000,Engine And Engine Cooling,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-engine-and-engine-cooling-problems.php,,,The Diesel Engine problem Vehicle is a 200 vw Golf tdi. At approx. 40k miles engine developed excessive carbon build up in the egr system and required cleaning. Vw performed this service at no charge. At approx 60k mile excessive carboin build up again noted. Read details...
carproblemzoo,2000,Power Train,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-power-train-problems.php,,,"The Constant Velocity Joint problem 2000 Volkswagen Golf front axle shafts were replaced due to cv joint failure. The right front caliper froze, power steering hose had to be replaced due to leakage located near the rear of the hose. ** received 10-20-** due to the calipers being replaced, the rotors had to be turned and the brakes Read details..."
carproblemzoo,2000,Power Train,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-power-train-problems.php,,,"The Axle Assembly problem When pulling out a gas station axle had cracked, causing bolts to come apart from suspension, vehicle was inoperable. Consumer has contacted dealer, and dealer indicated that crack was original manufacturer's defect. Please provide any further details. Read details..."
carproblemzoo,2000,Power Train,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-power-train-problems.php,,,The Clutch Broken problem 2000 Golf GLS. Replaced clutch in March 2008 at 135k miles. Replaced clutch failed in November 2009 after 15k miles on highway! car towed to nearest vw dealership. Clutch replaced. Vw refused to pay for cost of replacing clutch saying not cover under warranty even though failure only after 15k. Read details...
carproblemzoo,2000,Suspension,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-suspension-problems.php,,,"The Front Suspension Wheel Bearing problem 2000 Volkswagen Golf front axle shafts were replaced due to cv joint failure. The right front caliper froze, power steering hose had to be replaced due to leakage located near the rear of the hose. ** received 10-20-** due to the calipers being replaced, the rotors had to be turned and the brakes Read details..."
carproblemzoo,2000,Suspension,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-suspension-problems.php,,,"The Suspension Noise problem Front suspension is making a cranking noise while driving. This could result in lost of steering. There is a recall on this issue, but the manufacture isn't providing the consumer with any information, indicating whether or not this vehicle is covered by the recall. Read details..."
carproblemzoo,2000,Suspension,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-suspension-problems.php,,,The Front Suspension Control Arm problem Consumer stated that they have the same problem as recall #00v280000 front control arm. Dealer will not repair because VIN# was not included. Ts Read details...
carproblemzoo,2000,Gasoline Fuel System,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-gasoline-fuel-system-problems.php,,,The Fuel Pump problem 2000 Volkswagen Golf gti was brought in for service for a strong gasoline odor inside the passenger compartment. There exists a recall on this model for a problem with the fuel pump cracking due to a design fault. This recall was not honored because the vehicle was purchased in mexico. Read details...
carproblemzoo,2000,Gasoline Fuel System,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-gasoline-fuel-system-problems.php,,,The Gasoline Fuel System problem Error code p1128. Many of the vw 2. 0 engines get it and end up changing many parts. Then after they change the whole intake does the problem go away. Something should be done about this because this isn't poor driving or poor care for a car its poor quality. Read details...
carproblemzoo,2000,Gasoline Fuel System,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-gasoline-fuel-system-problems.php,,,"The Fuel Hoses Lines/piping And Fittings problem The contact owns a 2000 Volkswagen Golf. When the contact places fuel into the fuel tank, gasoline flows back out. The dealer cleaned the overflow fuel hose, but gasoline continues to pour out. The dealer advised her to place less fuel into the tank. Read details..."
carproblemzoo,2000,Electrical System,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-electrical-system-problems.php,,,The Wiring problem An electrical system short caused vehicle to catch on fire. Read details...
carproblemzoo,2000,Electrical System,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-electrical-system-problems.php,,,The Electrical System problem 1. This failure is a random shutting off of the engine when the vehicle is being driven. 2. Engine shuts off without any warnings. This has occurred when the engine was idling as well as when I am traveling at 65 mph on a highway. Read details...
carproblemzoo,2000,Electrical System,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-electrical-system-problems.php,,20000.0,"The Fuses And Circuit Breaker problem The right rear brake pad wore down to the metal backing plate in under 20,000 miles while all other pads were still serviceable. Brake light on the right rear had also burned out. The glove compartment door hinge snapped while opening it. Read details..."
carproblemzoo,2000,Unknown Or Other,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-unknown-or-other-problems.php,,,"Unknown Or Other problem #1 Everytime it rains, I get an inch or two of water in my passenger side front and rear foot well of my 2000 vw Golf. It began last rainy season with a large rain event. Since then, it has happened with every rain event."
carproblemzoo,2000,Unknown Or Other,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-unknown-or-other-problems.php,,,"Unknown Or Other problem #2 Engine runs rough, and engine check light comes on. Dealer repair center state check light came on b/c injectors needed to be cleaned and vacum hoses had to be replaced. Car has only 20k mi on it."
carproblemzoo,2000,Unknown Or Other,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-unknown-or-other-problems.php,,20000.0,"Unknown Or Other problem #3 The right rear brake pad wore down to the metal backing plate in under 20,000 miles while all other pads were still serviceable. Brake light on the right rear had also burned out. The glove compartment door hinge snapped while opening it."
carproblemzoo,2000,Unknown Or Other,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-unknown-or-other-problems.php,,,"Unknown Or Other problem #4 The rear mats do not have traction, which could cause a hazardous situation. Yh."
carproblemzoo,2000,Structure,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-structure-problems.php,,,"The Structure problem The contact owns a 2000 Volkswagen Golf. The contact stated the material that was used to insulate the vehicle released a toxic odor that caused the contact to have headaches, and a rash. The manufacturer filed complaint 110328029 and advised him to have the dealer diagnose the failure. Read details..."
carproblemzoo,2000,Structure,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-structure-problems.php,,,"The Door problem The car has had squeaking and creaking front doors since two weeks after delivery. The dealer has tried several times to lubricate, adjust the door and striker. The problem has never been solved. It can be heard whenever the car accelerates, decelerates, or changes direction. Read details..."
carproblemzoo,2000,Structure,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-structure-problems.php,,,The Hatchback/liftgate Support Device problem The vehicles rear driver side lid strut popped out and slammed down bending the strut. Yh Read details...
carproblemzoo,2000,Vehicle Speed Control,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-vehicle-speed-control-problems.php,,,"The Vehicle Speed Control problem I had just got on the freeway about 5mins. On the car shut down and then there was a back fire then I seen a symbol of a car with a key under it lit in the dashboard, the car would not start back up I had it towed to the house and then the car started but now it has a pudder noise I changed the Read details..."
carproblemzoo,2000,Vehicle Speed Control,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-vehicle-speed-control-problems.php,,,"The Speed Control Cable problem 1. Passenger front window drops down in door. Has happened twice. There were four other people at the dealer for the same problem at the same time I was there. I was told it was an ""arizona"" problem and that the part that holds the window up melts and breaks. Read details..."
carproblemzoo,2000,Other Fuel System,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-other-fuel-system-problems.php,,,"Other Fuel System Delivery problem #1 Engine runs rough, and engine check light comes on. Dealer repair center state check light came on b/c injectors needed to be cleaned and vacum hoses had to be replaced. Car has only 20k mi on it."
carproblemzoo,2000,Other Fuel System,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-other-fuel-system-problems.php,,,"Other Fuel System Fuel Injection System problem #2 Engine runs rough, and engine check light comes on. Dealer repair center state check light came on b/c injectors needed to be cleaned and vacum hoses had to be replaced. Car has only 20k mi on it."
carproblemzoo,2000,Other Fuel System,https://www.carproblemzoo.com/volkswagen/golf/2000/2000-volkswagen-golf-other-fuel-system-problems.php,,,"Other Fuel System Pump problem #3 The contact owns a 2000 Volkswagen Golf. The contact stated that the check engine warning light illuminated on the instrument panel. The vehicle was taken to the dealer and the dealer stated that the fuel system pump needed replacing. The vehicle was not repaired. The manufacturer was contacted and advised the contact that the vehicle was not included in NHTSA campaign id number: 05v154000 (fuel system, gasoline:delivery:fuel pump). The failure and current mileages were not available."
