issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count,model_scope,affected_engines_original,_scope_notes,trim_evidence,distinct_trim_count,dominant_trim,cross_trim_corroboration_count,trim_scope_warning,affected_years_evidence
wiper_motor_failure,Wiper motor failure or sticking,Wiper motor failure,electrical,chronic_failure,medium,high,[],,,Front and rear wiper motors fail permanently or wipers stick mid-screen due to a faulty motor or perished wiring.,Faulty motor or perished wiring,Replace wiper motor,"[""Wipers moving slowly"", ""Wipers stopping mid-cycle""]",Test front and rear wipers on all speeds.,2,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,Mentioned for general model and specifically for 2.0_16V.,2,"[""all_renault_clio_mk2""]","[""2.0_16V""]","[""system_component=electrical is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 2}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
clutch_wear_high_bite,Clutch wear leading to high bite point,Clutch wear,gearbox,wear_item,high,medium,"[""2.0_16V""]",,,"The self-adjusting clutch wears, causing the bite point to become very high.",Self-adjusting clutch mechanism wear,Clutch replacement,"[""High bite point"", ""Slipping under load""]",Test clutch bite point during test drive,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
driveshaft_wear_vibration,Driveshaft wear causing vibration,Driveshaft vibration,gearbox,wear_item,medium,medium,"[""2.0_16V""]",,,Worn driveshafts cause a vibration felt through the steering wheel.,Worn driveshafts,Driveshaft replacement,"[""Steering wheel vibration"", ""Clunking on turns""]",Check for play in driveshafts and listen for clunks,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
engine_oil_leaks_sealant,Engine oil leaks from non-solidifying sealant,Oil leaks,engine,fluid_leak,medium,high,"[""2.0_16V""]",,,Oil leaks develop over time as the factory-applied non-solidifying sealant degrades.,Degradation of factory non-solidifying sealant,Reseal with appropriate gasket maker or solid gasket,"[""Oil spots under car"", ""Low oil level"", ""Burning oil smell""]","Inspect engine for oil seepage, especially around sump and timing cover.",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
excessive_oil_consumption_1_2,Excessive oil consumption on 1.2 petrol,Oil consumption,engine,chronic_failure,high,medium,"[""1.2""]",,,"Engine consumes oil, which can lead to catastrophic engine failure.",,"Regular oil level checks, top-ups, potential engine repair or rebuild.","[""Low oil level"", ""Blue exhaust smoke"", ""Oil smell""]","Check oil level and condition, look for smoke from exhaust, inspect for oil leaks.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""1998-2012""], ""from_model_scope_window"": [""1998-2012""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1998-2012"", ""fallback_window_source"": ""engine""}"
faulty_fuel_gauge,Faulty fuel gauge,Fuel gauge fault,fuel,sensor_fault,low,high,[],,,"Fuel gauge shows incorrect level, often getting stuck at half a tank before suddenly indicating empty.",Faulty fuel level sender or wiring,Replace fuel level sender unit,"[""Gauge reading erratically"", ""Sudden drop to empty""]",Fill fuel tank and monitor gauge for accurate reading.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,No specific engine mentioned; may be widespread.,1,"[""all_renault_clio_mk2""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1998-2012""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1998-2012"", ""fallback_window_source"": ""model_window""}"
fragile_air_vent_controls,Fragile air vent controls,Fragile vents,body,wear_item,low,medium,[],,,Vent controls are made from poor plastic and break easily if handled aggressively.,Poor quality plastic materials.,"Replace broken vent controls, handle with care.","[""Loose or broken vent slats""]",Operate all vent controls to check for breakage or looseness.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1998-2012""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1998-2012"", ""fallback_window_source"": ""model_window""}"
power_steering_switch_leak,Power steering switch leak,PS switch leak,other,fluid_leak,medium,high,[],,,Fluid leak from the power steering switch located underneath the engine.,Failed switch seal or connection,Replace power steering switch or seal,"[""Low power steering fluid"", ""Whining noise from pump"", ""Fluid spots under front""]",Check power steering fluid level and inspect switch area for leaks.,1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""..."", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]","[""2.0_16V""]","[""system_component=other is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
r_link_infotainment_bugs,R-Link infotainment system bugs,Infotainment bugs,electrical,intermittent_fault,medium,medium,[],,,"Infotainment system is buggy, slow, crashes, and can prevent access to climate controls.",Software bugs or hardware limitations.,"Software updates, system reset, or unit replacement.","[""System freezes"", ""Slow response"", ""Crashes""]","Test infotainment system thoroughly, check for responsiveness and crashes.",1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Buying a Used 4th Gen Clio? Problems"", ""channel"": ""Pit-Stop"", ""video_type_category"": ""organic"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]",,,"{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [], ""from_model_scope_window"": [""1998-2012""], ""window_source"": ""model_window"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""1998-2012"", ""fallback_window_source"": ""model_window""}"
rear_wheel_bearing_wear,Rear wheel bearing wear and rumble,Rear bearing rumble,suspension,wear_item,medium,medium,[],,,"Rear wheel bearings are susceptible to wear, producing a rumbling noise like roller skates.",Wheel bearing wear,Wheel bearing replacement,"[""Rumbling noise"", ""Noise increases with speed""]","Listen for bearing rumble, check for play in rear wheels",1,1,"[{""video_id"": ""gHsrxWl0O2I"", ""title"": ""None"", ""channel"": ""None"", ""video_type_category"": ""None"", ""trim"": ""base""}]",youtube,medium,,1,"[""all_renault_clio_mk2""]","[""2.0_16V""]","[""system_component=suspension is not engine-scoped; cleared affected_engines (original preserved in affected_engines_original).""]","{""base"": 1}",1,base,0,False,"{""from_llm_year_phrase"": null, ""from_llm_year_parsed"": [], ""from_transcript_context"": [], ""from_source_video_titles"": [], ""from_engine_production_windows"": [""2000-2005""], ""from_model_scope_window"": [""2000-2005""], ""window_source"": ""engine"", ""content_combine_rule"": ""no_content"", ""confidence"": ""low"", ""fallback_window"": ""2000-2005"", ""fallback_window_source"": ""engine""}"
