issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
wiper_motor_failure,Front and rear wiper motor failure or sticking,Wiper motor failure,electrical,chronic_failure,medium,high,"[""all""]",,,Wipers stop working or stick mid-screen due to faulty motor or perished wiring.,Faulty motor or perished wiring,Replace wiper motor or repair wiring,"[""Wipers moving slowly"", ""Intermittent operation""]",Test wipers at all speeds and check for smooth operation.,3,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""VQ3YHsEDV7I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Mentioned for both general models and specific 2.0L engines; consolidated as a common issue. Includes linkage seizure as a related failure mode.,3
wiper_motor_failure,Front and rear wiper motor failure or sticking,Wiper motor failure,electrical,chronic_failure,medium,high,"[""all""]",,,Wipers stop working or stick mid-screen due to faulty motor or perished wiring.,Faulty motor or perished wiring,Replace wiper motor or repair wiring,"[""Wipers moving slowly"", ""Intermittent operation""]",Test wipers at all speeds and check for smooth operation.,2,2,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Renault Clio Buyer's Guide - Common Problems"", ""channel"": ""Car Buyer's Tips"", ""video_type_category"": ""list_format""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Mentioned for both general models and specific 2.0L engines; consolidated as a common issue.,2
scuttle_panel_drain_blockage,Scuttle panel drain channels block causing water ingress,Scuttle drain blockage,body,chronic_failure,medium,high,"[""1.2_16V"", ""1.2_TCE"", ""1.4_16V"", ""1.5_DCI"", ""1.6_16V"", ""2.0_16V"", ""2.0_RS""]",2006,,"Water accumulates in the scuttle panel area, leading to component corrosion and potential interior leaks.",Blockage of drain channels by leaves and debris.,Regularly clean scuttle panel drains to prevent water buildup.,"[""Water sloshing sounds behind dashboard"", ""Damp footwells""]",Check scuttle area under windshield for debris and ensure drains are clear.,2,1,"[{""video_id"": ""VQ3YHsEDV7I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}, {""video_id"": ""gHsrxWl0O2I"", ""title"": ""..."", ""channel"": ""..."", ""video_type_category"": ""...""}]",youtube,medium,Can lead to water ingress into interior and electrical issues. Often related to interior water leak.,2
engine_chassis_earth_strap_failure,Engine-to-chassis earth strap failure,Earth strap failure,electrical,chronic_failure,high,high,"[""1.2_16V"", ""1.2_TCE"", ""1.4_16V"", ""1.5_DCI"", ""1.6_16V"", ""2.0_16V"", ""2.0_RS""]",,,"Immobilizer light stays on solid red, check engine and battery lights flash, and the car fails to start.",Corrosion or breakage of the main engine-to-chassis grounding strap.,Replace the earth strap.,"[""Intermittent starting issues"", ""Flickering dashboard lights""]",Check the condition of the earth strap located between the engine and chassis.,1,1,"[{""video_id"": ""WA87eUwd4ck"", ""title"": ""Renault Clio Common Faults - Earth Strap Failure"", ""channel"": ""Auto Repair Guys"", ""video_type_category"": ""organic""}]",youtube,medium,Affects all engine variants due to common electrical architecture.,1
heater_blower_resistor_connector_melting,Heater blower resistor connector melts,Blower resistor melt,electrical,chronic_failure,medium,high,"[""1.2_16V"", ""1.2_TCE"", ""1.4_16V"", ""1.5_DCI"", ""1.6_16V"", ""2.0_16V"", ""2.0_RS""]",,,"The cabin heater fan/blower does not work on some speeds, such as speed two and four, while working on others.",High current through the resistor pack overheating the connector.,Replace the blower motor resistor and repair or replace the melted connector.,"[""Fan only works on highest speed"", ""Burning smell from vents""]",Check the blower resistor connector under the passenger side dashboard for melting or discoloration.,1,1,"[{""video_id"": ""lIEKsHL9Chc"", ""title"": ""Renault Clio Heater Blower Resistor Fix"", ""channel"": ""DIY Car Fix"", ""video_type_category"": ""organic""}]",youtube,medium,Common across all models due to shared HVAC design.,1
excessive_oil_consumption_1_2_tce,Excessive oil consumption leading to failure,Oil consumption,engine,chronic_failure,high,high,"[""1.2_TCE""]",,80000-120000 km,"Engine consumes excessive oil, which can lead to catastrophic engine failure.",Piston ring and/or valve stem seal wear.,Engine overhaul or replacement.,"[""Frequent need to top up oil"", ""Blue smoke from exhaust""]",Check service history for oil top-up frequency and inspect for exhaust smoke.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Renault Clio Buyer's Guide - Common Problems"", ""channel"": ""Car Buyer's Tips"", ""video_type_category"": ""list_format""}]",youtube,medium,Primarily associated with the 1.2 TCE turbo petrol engine.,1
map_sensor_condensation,MAP sensor condensation causing false readings,MAP sensor condensation,engine,intermittent_fault,medium,medium,"[""1.5_DCI""]",,,"Sudden loss of power and turbo boost, especially when the engine is cold, accompanied by service/stop lights and limp mode.",Condensation forming inside the MAP sensor.,Clean or replace the MAP sensor.,"[""Intermittent power loss on cold starts"", ""Check engine light""]",Scan for fault codes related to boost pressure or MAP sensor.,1,1,"[{""video_id"": ""2qi0bRyMeAc"", ""title"": ""Renault Clio 1.5 dCi MAP Sensor Problem"", ""channel"": ""Diesel Mechanic"", ""video_type_category"": ""organic""}]",youtube,medium,Specific to diesel engines with turbocharger.,1
engine_control_relay_stuck_closed,Engine control relay stuck closed,Relay stuck closed,electrical,intermittent_fault,medium,medium,"[""1.2_TCE""]",,,"Battery drains flat overnight due to the engine control relay failing in the closed position, keeping the ECU and engine bay components powered.",Relay internal contacts welding shut.,Replace the engine control relay (often in the under-hood fuse box).,"[""Battery drains overnight"", ""Clicking from fuse box when off""]",Check for parasitic drain with a multimeter; listen for relay buzz.,1,1,"[{""video_id"": ""YLEo2Xt3gJs"", ""title"": ""Renault Clio Battery Drain Fix - Relay Issue"", ""channel"": ""ElectroAuto Fix"", ""video_type_category"": ""organic""}]",youtube,medium,Reported on 1.2 TCE models.,1
wiper_switch_fire,Windshield wiper switch burns out,Wiper switch burnout,electrical,chronic_failure,high,medium,[],,,"Smoke and burning smell from under the steering wheel after using wipers, switch melts and fuses.",High current through aged switch contacts causing overheating.,Replace the wiper stalk/switch assembly.,"[""Wipers slow or intermittent"", ""Burning smell when using wipers""]",Inspect the wiper stalk for signs of melting or heat damage.,1,1,"[{""video_id"": ""1JFbJWqy51o"", ""title"": ""Renault Clio Electrical Gremlins - Wiper Switch"", ""channel"": ""Auto Electrical Help"", ""video_type_category"": ""organic""}]",youtube,medium,Can be a fire hazard. Affects various models regardless of engine.,1
climate_control_led_failure,Climate control LED power plug failure,Climate control LEDs,electrical,wear_item,low,medium,[],,,"LEDs for air conditioning and rear window heater stop illuminating, though functions still work.",Poor connection or failure in the LED power supply plug.,"Repair or reseat the connector, or replace LEDs.","[""Dashboard backlighting works but specific buttons don't light""]",Check illumination of all climate control buttons during a test drive at night.,1,1,"[{""video_id"": ""1JFbJWqy51o"", ""title"": ""Renault Clio Electrical Gremlins - Wiper Switch"", ""channel"": ""Auto Electrical Help"", ""video_type_category"": ""organic""}]",youtube,medium,"Cosmetic issue, does not affect functionality.",1
starter_motor_water_ingress,Starter motor water ingress and freezing,Starter motor water,electrical,intermittent_fault,medium,medium,[],,,"Water seeps into the starter motor, freezes overnight, and prevents the car from starting.",Poor sealing of the starter motor casing.,Replace the starter motor or seal it properly.,"[""Grinding or slow cranking in wet weather"", ""No start after rain or wash""]",Inspect starter motor location for signs of water exposure or corrosion.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Renault Clio Buyer's Guide - Common Problems"", ""channel"": ""Car Buyer's Tips"", ""video_type_category"": ""list_format""}]",youtube,medium,More common in cold climates.,1
suspension_noise_over_rough_roads,Excessive suspension noise on rough roads,Suspension noise,suspension,noise,low,medium,[],,50000-100000 km,The car produces a lot of noise when driving on damaged or rough roads.,"Worn suspension bushings, drop links, or top mounts.",Replace worn suspension components.,"[""Clunks and rattles from front end over bumps""]",Test drive on a rough road and listen for excessive knocking or rattling.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Renault Clio Buyer's Guide - Common Problems"", ""channel"": ""Car Buyer's Tips"", ""video_type_category"": ""list_format""}]",youtube,medium,General wear and tear issue.,1
vent_control_plastic_breakage,Fragile HVAC vent control plastics,Fragile vent controls,body,structural,low,medium,[],,,The plastic HVAC vent controls are fragile and break easily if handled aggressively.,Brittle plastic construction.,Replace broken vent slats or entire vent assembly.,"[""Loose or broken vent direction slats""]",Gently test the movement of all air vent controls.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Renault Clio Buyer's Guide - Common Problems"", ""channel"": ""Car Buyer's Tips"", ""video_type_category"": ""list_format""}]",youtube,medium,Cosmetic/build quality issue.,1
wiper_switch_fire,Windshield wiper switch burns out and melts,Wiper switch burnout,electrical,chronic_failure,high,medium,[],,,"Smoke and burning smell from under the steering wheel after using wipers, switch melts and fuses.",High current through aged switch contacts causing overheating.,Replace the wiper stalk/switch assembly.,"[""Wipers slow or intermittent"", ""Burning smell when using wipers""]",Inspect the wiper stalk for signs of melting or heat damage.,1,1,"[{""video_id"": ""1JFbJWqy51o"", ""title"": ""Renault Clio Electrical Gremlins - Wiper Switch"", ""channel"": ""Auto Electrical Help"", ""video_type_category"": ""organic""}]",youtube,medium,Can be a fire hazard. Affects various models regardless of engine.,1
starter_motor_water_ingress,Starter motor water ingress and freezing,Starter motor water,electrical,intermittent_fault,medium,medium,[],,,"Water seeps into the starter motor, freezes overnight, and prevents the car from starting.",Poor sealing of the starter motor casing.,Replace the starter motor or seal it properly.,"[""Grinding or slow cranking in wet weather"", ""No start after rain or wash""]",Inspect starter motor location for signs of water exposure or corrosion.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Renault Clio Buyer's Guide - Common Problems"", ""channel"": ""Car Buyer's Tips"", ""video_type_category"": ""list_format""}]",youtube,medium,More common in cold climates.,1
suspension_noise_over_rough_roads,Excessive suspension noise on rough roads,Suspension noise,suspension,noise,low,medium,[],,50000-100000 km,The car produces a lot of noise when driving on damaged or rough roads.,"Worn suspension bushings, drop links, or top mounts.",Replace worn suspension components.,"[""Clunks and rattles from front end over bumps""]",Test drive on a rough road and listen for excessive knocking or rattling.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Renault Clio Buyer's Guide - Common Problems"", ""channel"": ""Car Buyer's Tips"", ""video_type_category"": ""list_format""}]",youtube,medium,General wear and tear issue.,1
climate_control_led_failure,Climate control LED power plug failure,Climate control LEDs,electrical,wear_item,low,medium,[],,,"LEDs for air conditioning and rear window heater stop illuminating, though functions still work.",Poor connection or failure in the LED power supply plug.,"Repair or reseat the connector, or replace LEDs.","[""Dashboard backlighting works but specific buttons don't light""]",Check illumination of all climate control buttons during a test drive at night.,1,1,"[{""video_id"": ""1JFbJWqy51o"", ""title"": ""Renault Clio Electrical Gremlins - Wiper Switch"", ""channel"": ""Auto Electrical Help"", ""video_type_category"": ""organic""}]",youtube,medium,"Cosmetic issue, does not affect functionality.",1
vent_control_plastic_breakage,Fragile HVAC vent control plastics,Fragile vent controls,body,structural,low,medium,[],,,The plastic HVAC vent controls are fragile and break easily if handled aggressively.,Brittle plastic construction.,Replace broken vent slats or entire vent assembly.,"[""Loose or broken vent direction slats""]",Gently test the movement of all air vent controls.,1,1,"[{""video_id"": ""Xsh3AZ8Jh3M"", ""title"": ""Renault Clio Buyer's Guide - Common Problems"", ""channel"": ""Car Buyer's Tips"", ""video_type_category"": ""list_format""}]",youtube,medium,Cosmetic/build quality issue.,1
